ID,Name
0,Default
1,1: E3 Version (for demo)
2,2: E3 version (fully equipped)
3,3: Gamescom Sword
4,4: Gamescom Axe
5,5: Gamescom Sword (full gear)
6,6: Gamescom Ax (full gear)
10,10: TGS A
11,11: TGS B (North Warrior)
12,12: TGS D (Temple Knight)
13,13: TGS C (Witch)
14,14: TGS A (Wandering Knight) (full gear)
15,15: TGS B (North Warrior) (full gear)
16,16: TGS D (Temple Knight) (fully equipped)
17,17: TGS C (witch) (full gear)
20,20: NT version A
21,21: NT version B
22,22: NT version D (Temple Knight)
23,23: NT version C (Wizard)
24,24: NT version A (Wandering Knight) (full gear)
25,25: NT version B (North Warrior) (full gear)
26,26: NT version D (Temple Knight) (full gear)
27,27: NT version C (witch) (full gear)
2400,[Gift] None
2401,[Gift] Master Key
2402,[Gift] Young White Branch (3)
2403,[Gift] Soul of a Crestfallen Knight
2404,[Gift] Black Firebomb (10)
2405,[Gift] Old Radiant Lifegem (3)
2406,[Gift] Rouge Water (5)
2407,[Gift] Bloodthirsty Throwing Knife
2408,[Gift] Bloodthirsty Sorcerous Knife
2409,[Gift] Bloodthirsty Flaming Knife
2410,[Gift] Bloodthirsty Sparking Knife
2411,[Gift] Bloodthirsty Abyssal Knife
2500,Nothing
2501,Life Ring
2502,Divine Blessing
2503,Hidden Blessing
2504,Black Firebomb
2505,Raw Gem
2506,Soul of a Nameless Soldier
2507,Rusted Gold Coin
2508,Dung Pie
2509,Young White Branch
3000,[Class] Deprived
3001,[Class] Knight
3002,[Class] Brawler
3003,[Class] Sentinel
3004,[Class] Mercenary
3005,[Class] Wayfarer
3006,[Class] Assassin
3007,[Class] Samurai
3008,[Class] Warrior
3009,[Class] Bandit
3010,[Class] Soldier
3011,[Class] Dragon Knight
3012,[Class] Herald
3013,[Class] Captain
3014,[Class] Peasant
3015,[Class] Adventurer
3016,[Class] Forlorn Mage
3017,[Class] Hunter
3018,[Class] Sorcerer
3019,[Class] Pyromancer
3020,[Class] Cleric
3021,[Class] Priest
3022,[Class] Heretic
3023,[Class] Outcast
3024,[Class] Skeptic
3025,[Class] Paladin
3026,[Class] Jester
3027,[Class] Conjurator
3028,[Class] Collector
3029,[Class] Guardian
3030,[Class] Madman
3031,[Class] Doorman
3032,[Class] Hermit
3033,[Class] Royal Lancer
3034,[Class] Huntsman
3035,[Class] Misanthrope
3036,[Class] Scholar
3037,[Class] Royal Warden
3038,[Class] Wandering Knight
3039,[Class] Athlete
3040,[Class] Ashen Pyromancer
3041,[Class] Forgotten Knight
3042,[Class] Reaper
3043,[Class] Chef
3044,[Class] Crab King
3045,[Class] Monk
3046,[Class] Carthus Warrior
3047,[Class] Royal Swordsman
